,sub_name,scr_selcode,scr_precnt,Encrypt_selcode
0,體育(四)-桌球,5370,40,/v7JecE305o=
1,體育(四)-桌球,5371,40,EPg9yuc3xUA=
2,體育(四)-桌球,5372,40,n2/SiC2hdHM=
3,體育(四)-桌球,5373,40,X4hrk8uVG9I=
4,體育(四)-桌球,5374,40,HlxnkwezbhE=
5,體育(四)-桌球,5375,40,dAKdOALcpUY=
6,體育(四)-桌球,5376,40,DgVNA9TpDpo=
7,體育(四)-桌球,5377,40,ybcEph99JJY=
8,體育(四)-羽球,5378,35,xXQv8HLLVPI=
9,體育(四)-羽球,5379,35,h3ISWm8Bi6A=
10,體育(四)-羽球,5380,35,/qHGWFeKWVs=
11,體育(四)-羽球,5381,35,8TTTweghvCI=
12,體育(四)-羽球,5382,35,JIdqMbeSdOU=
13,體育(四)-羽球,5383,35,8VEmJNKLnNI=
14,體育(四)-羽球,5384,35,MiS4LZBfoAE=
15,體育(四)-排球,5385,45,3CaxID55x80=
16,體育(四)-排球,5386,45,deYcpxQZNfc=
17,體育(四)-排球,5387,45,kDGVBl24YJA=
18,體育(四)-足球,5388,45,i1HWinYUyB4=
19,體育(四)-足球,5389,45,HUOGbvkytlc=
20,體育(四)-足球,5390,45,9baXMAN9O10=
21,體育(四)-網球,5391,40,Ie8PL+rbOtM=
22,體育(四)-網球,5392,40,eoo63RsTnHI=
23,體育(四)-網球,5393,40,Vo6SfMsUXyc=
24,體育(四)-網球,5394,40,TxX9PecUobw=
25,體育(四)-籃球,5395,50,xJduVlOotSw=
26,體育(四)-籃球,5396,50,LkUns6e9uEY=
27,體育(四)-籃球,5397,50,uTEAUg8cipQ=
28,體育(四)-籃球,5398,50,+GYXWUM4Lms=
29,體育(四)-籃球,5399,50,fJNAG39aNOk=
30,體育(四)-體適能瑜珈,5400,30,E4UdEFmi2+Q=
31,體育(四)-體適能瑜珈,5401,30,tg4n1X65jFg=
32,體育(四)-體適能瑜珈,5402,30,45CO9doex5I=
33,體育(四)-體適能瑜珈,5403,30,ExdVYztwDvE=
34,體育(四)-體適能瑜珈,5404,30,lMk5V1euleU=
35,體育(四)-適應體育,5405,10,d0ym0mtIuAo=
36,體育(四)-壘球,5406,40,18wx1o0hwss=
37,體育(四)-射箭,5407,30,dYRrOlv94tI=
38,體育(四)-射箭,5408,30,uN9O7FSeuqg=
39,體育(四)-有氧舞蹈,5409,30,3s5y464U3g4=
40,體育(四)-有氧舞蹈,5410,30,ieJ25MK60x0=
41,體育(四)-有氧舞蹈,5411,30,n0XtVMvJ5vs=
42,體育(四)-有氧舞蹈,5412,30,CVVKkIF+uPU=
43,體育(四)-有氧舞蹈,5413,30,m+otvwBBuhY=
44,體育(四)-有氧舞蹈,5414,30,5f7Or3JOxEc=
45,體育(四)-初級水肺潛水,5415,20,56tRFHdyqFY=
