,sub_name,scr_selcode,scr_precnt,Encrypt_selcode
0,統計學(二),2177,55,epslFgqOyZk=
1,資料庫管理,2178,55,U+GSZbVJvkU=
2,企業個案實務,2179,30,mYhTo1SKOOE=
3,感測器與物聯網實務,2180,20,dlS+b7z0458=
4,電子化企業,2181,30,wxicVt0ByJs=
5,會計資訊系統,2182,50,Yz+4nkkGaNw=
6,資訊管理英文,2183,50,+t8aoYUOjFM=
7,資訊網路應用,2184,50,9MqfA4dLVdU=
8,軟體開發實務,2185,55,tfUXcD+ApAs=
9,金融市場實務,2186,50,KgE+YGuvI/8=
10,多媒體文創應用,2187,50,DgW+the9jx0=
11,實務專題-資訊技術(四),2188,55,SsmHSGtP1oc=
22,統計學(二),2189,55,kfZhqFF9/EI=
23,資料庫管理,2190,55,o9Sg8D4j37Y=
24,企業倫理與永續發展,4014,60,oEc0YwmR4qY=
25,企業倫理與永續發展,4015,60,NFKkSAZsDw0=
26,企業倫理與永續發展,4016,60,vPa5151xS0g=
27,企業倫理與永續發展,4017,60,mTa+BIe0uLA=
28,企業倫理與永續發展,4020,30,DePfsc+mNwY=
29,智慧科技,4021,80,RthsICIxlZU=
30,智慧科技,4022,60,WnqQSxyLR0Q=
31,智慧商務導論,4023,50,p7w/04GFaQg=
32,智慧商務導論,4024,50,YNpQsuyWPRI=
