,sub_name,scr_selcode,scr_precnt,Encrypt_selcode
0,博雅(歷史)應用倫理學-工程倫理,4557,40,ENy3x4mYBX8=
1,博雅(歷史)應用倫理學-工程倫理,4558,30,g5AwM4QMYbY=
2,博雅(歷史)應用倫理學-工程倫理,4559,40,OgFquXOK6z0=
3,博雅(歷史)應用倫理學-工程倫理,4560,40,DO2+yr/GFYo=
4,博雅(科技)安全衛生概論,4561,40,aYiPBI8fxIQ=
5,博雅(科技)資訊素養與倫理,4562,40,GDVCxSwgKFw=
6,博雅(社會)民主與法治,4563,40,NpyqQtpcpm8=
7,博雅(科技)近代科技概論,4564,40,33w85zEEds4=
8,博雅(科技)漫談人工智慧,4565,40,+WBNZ/DdXqE=
9,博雅(社會)休閒生活與教育,4566,30,q1/4JNennI8=
10,博雅(全球)日本文化與台日關係,4567,40,5VgLfli7BUY=
11,通識微學分(一),4568,20,zzcOqNY08tQ=
12,通識微學分(二),4569,20,OsvKs2cRM5Q=
13,自主學習課程─人文,4570,20,FFjhmTXoIGk=
14,自主學習課程─全球,4571,20,Dvr+luSQWys=
15,自主學習課程─歷史,4572,20,a3YIxNbqAX8=
16,自主學習課程─社會,4573,20,b2ONiFzidtA=
17,自主學習課程─科技,4574,20,QHN4zuZqkx4=
18,核心(三)創意與創新,4648,40,tcEQqKfPI98=
19,博雅(全球)全球議題與趨勢,4649,14,KzEnXaDm1wc=
20,博雅(全球)服務創新,4650,40,VhzGUWKS86E=
21,核心(三)創意與創新,4274,40,qKfmTbYu7wc=
22,核心(三)創意與創新,4275,40,PV3/OQD0y8w=
23,核心(三)創意與創新,4276,40,fylRrZqUEW4=
24,核心(三)創意與創新,4277,40,86O9DBpBsug=
25,核心(三)創意與創新,4278,40,ut7sLjonrL0=
26,核心(三)創意與創新,4279,40,RV+TaHhjF3M=
27,核心(三)創意與創新,4280,30,bakcsXA+rcY=
28,核心(三)創意與創新,4281,40,CAbanoJEeBU=
29,核心(三)創意與創新,4282,40,+3i6R/8/aqA=
30,核心(二)在地文化探源,4283,30,nk6KlS2MqPA=
31,核心(二)在地文化探源,4284,30,jOiqMDvTXSc=
32,核心(二)在地文化探源,4285,40,sg2cY8PawXk=
33,核心(二)在地文化探源,4286,40,xdqLtQea3b8=
34,核心(二)在地文化探源,4287,30,xUoQITmvQzc=
35,核心(一)海洋科技探索,4288,40,XFxfntztxE4=
36,核心(一)海洋科技探索,4289,40,Wb1TULtcOfk=
37,核心(一)海洋科技探索,4290,40,fVK9d1Qpg5s=
